instance,family,seed,init,algo,feasible,violation,best_max_avg,best_sum_avg,elapsed_s,error
data/MSE/7,MSE,1,greedy_fair,ga,False,127.0,11.5,112.68333333333334,11.10897183418274,
data/MLE/1,MLE,1,round_robin,ls,True,0.0,12.692307692307692,98.846098037847,0.20000100135803223,
data/MLE/1,MLE,1,round_robin,sa,True,0.0,12.576923076923077,99.45116477904858,0.2000441551208496,
data/MLE/1,MLE,1,round_robin,tabu,True,0.0,12.708333333333334,99.07670631564088,0.2030940055847168,
data/MLE/1,MLE,1,round_robin,ga,True,0.0,12.846153846153847,98.80855865381191,21.25446605682373,
data/MLE/1,MLE,1,random,ls,False,372.0,9.642857142857142,98.428212201396,0.2000136375427246,
data/MLE/1,MLE,1,random,sa,False,156.0,9.714285714285714,102.94327537520662,0.20000886917114258,
data/MLE/1,MLE,1,random,tabu,False,372.0,9.285714285714286,98.21834582360098,0.20041108131408691,
data/MLE/1,MLE,1,random,ga,False,522.0,10.071428571428571,98.55016064502026,21.426212072372437,
data/MLE/1,MLE,1,greedy_fair,ls,False,363.0,15.764705882352942,98.49813069301432,0.20003581047058105,
data/MLE/1,MLE,1,greedy_fair,sa,False,213.0,15.352941176470589,99.8155748436468,0.2000269889831543,
data/MLE/1,MLE,1,greedy_fair,tabu,False,258.0,15.647058823529411,99.81526658548384,0.20017099380493164,
data/MLE/1,MLE,1,greedy_fair,ga,False,587.0,15.705882352941176,98.06030677802325,21.590200662612915,
data/MSE/5,MSE,1,round_robin,ls,False,260.0,18.0,119.3,0.20002269744873047,
data/MSE/5,MSE,1,round_robin,sa,False,170.0,20.0,118.85,0.20000290870666504,
data/MSE/5,MSE,1,round_robin,tabu,False,169.0,20.0,108.45,0.20001888275146484,
data/MSE/5,MSE,1,round_robin,ga,False,201.0,16.0,115.9,9.689929008483887,
data/MSE/5,MSE,1,random,ls,False,251.0,18.0,121.35,0.20000100135803223,
data/MSE/5,MSE,1,random,sa,False,209.0,18.0,115.75,0.20004630088806152,
data/MSE/5,MSE,1,random,tabu,False,157.0,19.0,126.4,0.20022797584533691,
data/MSE/5,MSE,1,random,ga,False,201.0,16.0,115.9,9.691628694534302,
data/MSE/5,MSE,1,greedy_fair,ls,False,264.0,20.0,116.0,0.20000100135803223,
data/MSE/5,MSE,1,greedy_fair,sa,False,217.0,20.0,118.5,0.2000267505645752,
data/MSE/5,MSE,1,greedy_fair,tabu,False,179.0,19.0,114.5,0.20003604888916016,
data/MSE/5,MSE,1,greedy_fair,ga,False,201.0,16.0,115.9,9.685196161270142,
data/MSB/8,MSB,1,round_robin,ls,True,0.0,1.5,13.25,0.2000257968902588,
